誰 が 一番 に 着 く か 私 に は 分か り ま せ ん 。	i can 't tell who will arrive first .
多く の 動物 が 人間 に よ っ て 滅ぼ さ れ た 。	many animals have been destroyed by men .
私 は テニス 部員 で す 。	i 'm in the tennis club .
エミ は 幸せ そう に 見え ま す 。	emi looks happy .
この 事実 を 心 に 留め て お い て 下さ い 。	please bear this fact in mind .
彼女 は 私 たち の 世話 を し て くれ る 。	she takes care of my children .
私 達 は 国際 人 に な り た い と 思 い ま す 。	we want to be international .
約束 を 破 る べ き で は あ り ま せ ん 。	you ought not to break your promise .
道路 を 横切 る とき は 車 に 注意 し なさ い 。	when you cross the street , watch out for cars .
私 に は 生き 甲斐 が な い 。	i have nothing to live for .
父 は 私 が 外国 へ 行 く こと を 承知 し た 。	my father consented to my going abroad .
お 弁当 食べ た ん で しょ う 。	you have eaten lunch , haven 't you ?
彼 の 小説 は １ つ も 読 ん で い な い 。	i haven 't read any of his novels .
彼 は どこ へ 行 っ たら い い か 分か ら な かっ た 。	he did not know where to go .
彼女 は 、 母親 に 少し 似 て い る 。	she is a bit like her mother .
卑屈 な 奴 。	don 't be a dog .
曇り の 日 で す 。	it 's a cloudy day .
彼 も それ を 見 た 。	he saw it also .
私 は 音楽 が 好き で は あ り ま せ ん 。	i do not like music .
それ は 本当 の はず は な い 。	it cannot be true .
その 仕事 を 引き受け よ う か と 思 っ て い る 。	i have half a mind to undertake the work .
サッカー は 日本 で 以前 より も 今 人気 が あ る 。	soccer is more popular in japan than it used to be .
車 が そんな に 混ん で な けれ ば 問題 な い で しょ う 。	we shouldn 't have any trouble if the traffic isn 't too heavy .
２ 時間 も 待た さ れ た 。	i was kept waiting for as long as two hours .
ボブ は 私 の 友達 で す 。	bob is my friend .
気 に し な い よう に し て い る ん だ 。	i just brush it off .
どうぞ 午後 に 私 の 家 へ 来 て くださ い 。	please come to my house in the afternoon .
車 で どれ くらい かか り ま す か 。	how long does it take by car ?
私 は 彼女 が 子供 の ころ から 知 っ て い ま す 。	i have known her since she was a child .
申告 する 物 は 何 も あ り ま せ ん 。	i have nothing to declare .
